family,name,n_rows,n_cols,n_vertices,n_edges,cell_area,spring_nu_min,spring_nu_max,spring_classification,beam_nu_min,beam_nu_max,beam_classification,phonon_acoustic_max,phonon_acoustic_mean,phonon_acoustic_min,phonon_acoustic_optical_gap,phonon_flat_acoustic_score,phonon_has_gap,phonon_n_bands,phonon_optical_min_BZ,phonon_optical_min_M,phonon_optical_min_X,phonon_optical_min_gamma,phonon_softmode_kx,phonon_softmode_ky,phonon_softmode_omega,phonon_v_anisotropy,phonon_v_max,phonon_v_min,phonon_v_ratio_xy,phonon_v_x_hi,phonon_v_x_lo,phonon_v_y_hi,phonon_v_y_lo,humidity_eta_aniso,humidity_eta_anisotropy_ratio,humidity_eta_max,humidity_eta_min,humidity_eta_pore,humidity_eta_xx,humidity_eta_xx_x,humidity_eta_xy,humidity_eta_xy_x,humidity_eta_yy,humidity_eta_yy_x
cloth,2x1_1,2,1,2,4,2.0,-0.0,0.9950064171039074,non_auxetic,-0.0,0.9950064171039072,non_auxetic,1.9903936460592457,0.9465233329724905,0.1000741777260288,-1.710513075588584,0.050278585808472775,0,4,0.2798805704706618,2.004993765576342,2.009975124224178,0.19999999999999946,-0.5890486225480862,-0.09817477042468103,0.11402260481831678,0.9000001311045114,1.0000000125737758,0.09999987015286464,1.0000000260208526,0.9999999865529235,0.09999987015286464,1.0000000125737758,0.10000000500438017,0.0,1.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.5000000000000027,0.0,0.0
cloth,2x1_3,2,1,2,4,2.0,-3.9644834581765396e-15,0.8691849925295915,directionally_auxetic,1.3877787807814457e-16,0.8727339056314556,non_auxetic,1.2094010841688334,0.5897939700733839,0.024588271122257345,-0.014709610175021703,0.020330948470379306,0,4,1.1946914739938117,2.1987007502437566,2.0,1.1951383593529352,-0.5890486225480862,0.09817477042468103,0.06427474279031369,0.9000000385181964,0.9999999903331451,0.09999996051511849,0.11833059478229654,0.9999999903331451,0.09999996051511849,0.11833059363841186,0.11833042571821542,-1.232363719469499e-15,1.0000000000000075,0.1667400796064395,-0.16674007960643822,-0.31825488131304835,2.776780132603521e-17,-2.0807512428917692e-17,-0.16674007960643886,0.12494494029517327,1.2601315207955342e-15,-9.287392439321386e-16
cloth,3x1_1,3,1,3,6,3.0000000000000004,-1.5252910298433138,2.547561575065672,directionally_auxetic,-1.5358636012370204,2.5670354501904504,directionally_auxetic,1.2630233669592659,0.6276475679002105,0.019603428065902973,-1.0164942751243509,0.015521033560209063,0,6,0.24652909183491506,1.7435595774162695,1.7843974029596643,0.17320508075688984,-0.5890486225480862,-0.19634954084936207,0.05805693545089623,0.8990098684640482,1.000815210418321,0.10107245974332758,0.24193993816716208,1.000815210418321,0.1265642652433632,0.2421371701253639,0.10107245974332758,0.10842629834574456,0.18244168287711737,0.022634599425185267,-0.12406484674026319,-0.40096695553633466,0.003498025515333315,0.0020405148839444075,-0.04940765459999316,0.38784553481668066,-0.10492827283041124,0.10545850751559317
cloth,5x1_20,5,1,5,10,4.999999999999999,-0.8494650914271377,1.792305087367055,directionally_auxetic,-0.8946152698222388,1.7511182910406309,directionally_auxetic,0.6461079985642251,0.31202722484550593,0.019603428065912174,-0.45347764155994347,0.030340791492250108,0,10,0.1926303570042816,0.7103308901641837,0.8581889107642507,0.10849866392619248,-0.19634954084936207,-0.2748893571891069,0.048853728895786604,0.8971588469035415,1.0002911826308816,0.10287109865398007,0.13193282185762897,1.0002911826308816,0.10287109865398007,0.1319712384037971,0.10819915688096049,0.07231267727071528,0.6686782835449756,0.13652576240069791,-0.2041725681248554,-0.4074306131641564,0.0023329357732788554,0.00174970182995922,-0.1664678866394661,0.12514908502041838,-0.06997974149743642,0.04751519387693356
4,2x2_3,2,2,2,4,4.0,0.6091403000124478,0.9801980198019804,non_auxetic,0.6091403000124461,0.9801980198019802,non_auxetic,1.1939835443606397,0.6466952629846814,0.01648445238729473,0.0023085152091189,0.013806264303350857,1,4,1.1962920595697586,1.6817928305074288,1.1951383593529352,1.6901808767092508,-0.2945243112740431,0.2945243112740431,0.048819868901271254,7.034337822867585e-08,0.8450904530356222,0.8450903935891049,1.0,0.8450904530356222,0.8450903935891049,0.8450904530356222,0.8450903935891049,0.0,1.0,0.0,0.0,-0.1647156696299077,0.0,0.0,0.0,0.0,0.0,0.0
4,1x1_1,1,1,1,2,1.0,-5.488299606129577,7.317314608429309,directionally_auxetic,-5.551609935530906,7.4252939750109395,directionally_auxetic,2.4162857532703397,1.1145026837071805,0.019603428065910432,,0.00811304210993169,0,2,,,,,-0.5890486225480862,-0.5890486225480862,0.05805693545089295,0.9306047924079096,1.2117498225324235,0.08408963048431625,0.6939521685342808,1.2117498225324235,0.5058064971254929,0.8408964170674051,0.08408963048431625,0.3595502480273444,0.17726717992994132,0.07247061706602115,-0.4088214022170525,-0.7616509456718741,0.011599731438156536,0.008699798578617399,-0.15997314381565242,0.13002014213825938,-0.3479505165891879,0.23903711255810645
4,1x2_1,1,2,2,4,2.0,-2.396520841447857,0.9801980198019802,directionally_auxetic,-2.385174607670613,0.9801980198019798,directionally_auxetic,1.1872274954359672,0.5967593066697943,0.04000032317169513,0.00899601176144893,0.03369221427693314,1,4,1.196223507197416,1.7136730352304919,1.7136730352304919,1.2117572768491327,-0.09817477042468103,-0.5890486225480862,0.059221778577398604,0.9025031291171196,1.0116068012168258,0.0986284976824805,0.507075124057723,1.0116068012168258,0.5261301800379593,0.5129606442246583,0.0986284976824805,4.38152392675541e-18,1.0,0.012961397804128461,-0.012961397804128461,-0.31825488131305,2.2733873175838907e-18,1.6552176075575354e-18,0.012961397804128461,0.01121654358186448,-2.1081366091715187e-18,-1.5623244523856944e-18
4,1x3_1,1,3,3,6,3.0000000000000004,-3.818116571621195,5.425797538303552,directionally_auxetic,-4.425155094052859,5.995578920567779,directionally_auxetic,0.7434639902985558,0.4040662564087646,0.019345931988841283,-0.011253840162412043,0.026021343657911977,0,6,0.7322101501361438,0.9848949498087515,0.8555809042574417,0.8760825528916263,-0.19634954084936207,-0.5890486225480862,0.05734995658898076,0.9071363189749431,1.0308309563557043,0.09572675712177046,0.5328512015001291,1.0308309563557043,0.5235203894618715,0.5492795136376641,0.09572675712177046,0.08016091558302058,0.06097831831516756,0.004607424815325417,-0.07555841063887425,-0.41178636470891616,0.004604964879735865,0.0023926708685576546,0.0004440683961022134,0.019815772885972527,-0.0755559507032847,0.05190587578296206
4,1x4_2,1,4,4,8,4.0,-2.396520841447871,0.9801980198019684,directionally_auxetic,-3.304074983050497,0.3577417632007298,directionally_auxetic,0.5533435976771863,0.3027063085975836,0.022218790205514042,0.046724561517018204,0.040153695278636325,1,8,0.6000681591942045,0.8161407044641008,0.7575716827648801,0.7307048995619507,-0.04908738521234052,-0.5890486225480862,0.05737695145630832,0.9025031754332627,1.0116067434063634,0.0986284451924187,0.5070751200129979,1.0116067434063634,0.5261301894815229,0.5129606108187397,0.0986284451924187,1.2427208721677245e-16,0.9999999999999903,0.012961397804128388,-0.012961397804128513,-0.3182548813130502,-2.4598591602804626e-19,-5.7589623582028855e-19,0.01296139780412845,0.01121654358186447,-1.245180731328005e-16,-2.3310343116911297e-17
4,1x5_1,1,5,5,10,4.999999999999999,-4.376132113584541,6.273925440654747,directionally_auxetic,-4.8577922558170386,6.832524865516583,directionally_auxetic,0.493420434455762,0.2626475442803433,0.019398827687483664,-0.062005557501814024,0.03931500670190202,0,10,0.431414876953948,0.47583140603870394,0.5808414527110897,0.594611199775629,-0.039269908169872414,-0.5890486225480862,0.05587991062473097,0.9155131223167733,1.0761417175094534,0.0909198536570387,0.5847835640058731,1.0761417175094534,0.5180419234916249,0.6293099889405797,0.0909198536570387,0.1587298989193108,0.09063471586745646,0.014221574904051673,-0.15691090072869207,-0.5063557815926507,0.0080202865473352,0.004491366498324345,-0.031981023299986075,0.04209135497000738,-0.1507096123719756,0.10353538465552031
